luca maria gambardella,SCCwW3YAAAAJ,machine learning
luca maria gambardella,SCCwW3YAAAAJ,ant colony optimzation
luca maria gambardella,SCCwW3YAAAAJ,metaheuristics
luca maria gambardella,SCCwW3YAAAAJ,swarm intelligence
Enrique Herrera-Viedma,g8ZXTuYAAAAJ,Fuzzy sets
Enrique Herrera-Viedma,g8ZXTuYAAAAJ,fuzzy decision making
Enrique Herrera-Viedma,g8ZXTuYAAAAJ,computing with words
Enrique Herrera-Viedma,g8ZXTuYAAAAJ,multiple criteria decision making
Enrique Herrera-Viedma,g8ZXTuYAAAAJ,consensus
Asuncion Gomez Perez,5xmvwXQAAAAJ,Ontologies
Asuncion Gomez Perez,5xmvwXQAAAAJ,Semantic Web
Asuncion Gomez Perez,5xmvwXQAAAAJ,Linked Data
Asuncion Gomez Perez,5xmvwXQAAAAJ,Knowledge Management
Asuncion Gomez Perez,5xmvwXQAAAAJ,Multilingualism
"Shipeng Li, Ph.D., IEEE Fellow, IEAS Academician",2sQYtYwAAAAJ,Artificial Intelligence
"Shipeng Li, Ph.D., IEEE Fellow, IEAS Academician",2sQYtYwAAAAJ,Computer Vision
"Shipeng Li, Ph.D., IEEE Fellow, IEAS Academician",2sQYtYwAAAAJ,Signal and Image Processing
"Shipeng Li, Ph.D., IEEE Fellow, IEAS Academician",2sQYtYwAAAAJ,Content-based Analysis
"Shipeng Li, Ph.D., IEEE Fellow, IEAS Academician",2sQYtYwAAAAJ,Image and Video Coding and Stream
Pedro Larrañaga,iTlD56SV03AC,Machine Learning
Pedro Larrañaga,iTlD56SV03AC,Bayesian Networks
Pedro Larrañaga,iTlD56SV03AC,Computational Neuroscience
Pedro Larrañaga,iTlD56SV03AC,Industry 4.0
Pedro Larrañaga,iTlD56SV03AC,Sport Analytics
Noah A. Smith,TjdFs3EAAAAJ,natural language processing
Noah A. Smith,TjdFs3EAAAAJ,machine learning
Noah A. Smith,TjdFs3EAAAAJ,computational social science
Noah A. Smith,TjdFs3EAAAAJ,all pubs hand-verified to be actually mine
Carles Sierra,Wz-D9CwAAAAJ,Artificial Intelligence
Salvador García,vIC06a0AAAAJ,Artificial Intelligence
Salvador García,vIC06a0AAAAJ,Data Science
Salvador García,vIC06a0AAAAJ,Machine Learning
Salvador García,vIC06a0AAAAJ,Soft Computing
Salvador García,vIC06a0AAAAJ,Evolutionary Algorithms
Philip R. Cohen,V72PR9wAAAAJ,multimodal interaction
Philip R. Cohen,V72PR9wAAAAJ,natural language processing
Philip R. Cohen,V72PR9wAAAAJ,human-computer interaction
Philip R. Cohen,V72PR9wAAAAJ,artificial intelligence
Junichi Tsujii,h3aNnAIAAAAJ,Artificial Intelligence
Junichi Tsujii,h3aNnAIAAAAJ,Natural Language Processing
Junichi Tsujii,h3aNnAIAAAAJ,Text Mining
Junichi Tsujii,h3aNnAIAAAAJ,Machine Translation
Ernesto Damiani,aC7ZsHAAAAAJ,Intelligent systems
Ernesto Damiani,aC7ZsHAAAAAJ,cyber security
Ernesto Damiani,aC7ZsHAAAAAJ,Big data analytics
Ernesto Damiani,aC7ZsHAAAAAJ,reputation and trust
Rolf Pfeifer,Erjo4pMAAAAJ,Embodied Intelligence
Rolf Pfeifer,Erjo4pMAAAAJ,Bio-inspired and soft robotics
Rolf Pfeifer,Erjo4pMAAAAJ,educational technology
Gerhard Weiss,3TofHnIAAAAJ,Artificial Intelligence
Gerhard Weiss,3TofHnIAAAAJ,Multiagent Systems
Gerhard Weiss,3TofHnIAAAAJ,Autonomous Systems
Gerhard Weiss,3TofHnIAAAAJ,Intelligent Systems
Michael Beetz,mINzfREAAAAJ,cognitive robotics
Michael Beetz,mINzfREAAAAJ,AI-based Robotics
Michael Beetz,mINzfREAAAAJ,plan-based control
Michael Beetz,mINzfREAAAAJ,semantic perception
Michael Beetz,mINzfREAAAAJ,knowledge processing for Robots
Ling Shao,z84rLjoAAAAJ,Computer Vision
Ling Shao,z84rLjoAAAAJ,Deep Learning
Ling Shao,z84rLjoAAAAJ,Machine Learning
Ling Shao,z84rLjoAAAAJ,Medical Imaging
Ling Shao,z84rLjoAAAAJ,Vision and Language
James Glass,pfGI-KcAAAAJ,Speech and Language Processing
Sebastián Ventura,wLj54kEAAAAJ,Machine Learning
Sebastián Ventura,wLj54kEAAAAJ,Data Mining
Sebastián Ventura,wLj54kEAAAAJ,Big Data
Sebastián Ventura,wLj54kEAAAAJ,Genetic Programming and Evolutionary …
Sebastián Ventura,wLj54kEAAAAJ,Computational Intelligence
